satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,left,promotion_last_5years,Department,salary,employee_id
0.38,0.53,2,157,3,0,1,0,sales,low,1003
0.8,0.86,5,262,6,0,1,0,sales,medium,1005
0.11,0.88,7,272,4,0,1,0,sales,medium,1486
0.72,0.87,5,223,5,0,1,0,sales,low,1038
0.37,0.52,2,159,3,0,1,0,sales,low,1057
0.41,0.5,2,153,3,0,1,0,sales,low,1060
0.1,0.77,6,247,4,0,1,0,sales,low,1061
0.92,0.85,5,259,5,0,1,0,sales,low,1576
0.89,1,5,224,5,0,1,0,sales,low,1752
0.42,0.53,2,142,3,0,1,0,sales,low,1988
0.45,0.54,2,135,3,0,1,0,sales,low,1071
0.11,0.81,6,305,4,0,1,0,sales,low,1088
0.84,0.92,4,234,5,0,1,0,sales,low,2040
0.41,0.55,2,148,3,0,1,0,sales,low,1097
0.36,0.56,2,137,3,0,1,0,sales,low,1100
0.38,0.54,2,143,3,0,1,0,sales,low,1113
0.45,0.47,2,160,3,0,1,0,sales,low,58014
0.78,0.99,4,255,6,0,1,0,sales,low,3322
0.45,0.51,2,160,3,1,1,1,sales,low,3794
0.76,0.89,5,262,5,0,1,0,sales,low,1140
0.11,0.83,6,282,4,0,1,0,sales,low,1148
0.38,0.55,2,147,3,0,1,0,sales,low,1149
0.09,0.95,6,304,4,0,1,0,sales,low,1158
0.46,0.57,2,139,3,0,1,0,sales,low,1166
0.4,0.53,2,158,3,0,1,0,sales,low,1175
0.89,0.92,5,242,5,0,1,0,sales,low,1184
0.82,0.87,4,239,5,0,1,0,sales,low,1186
0.4,0.49,2,135,3,0,1,0,sales,low,1201
0.41,0.46,2,128,3,0,1,0,accounting,low,1203
0.38,0.5,2,132,3,0,1,0,accounting,low,1204
0.09,0.62,6,294,4,0,1,0,accounting,low,1214
0.45,0.57,2,134,3,0,1,0,hr,low,1223
0.4,0.51,2,145,3,0,1,0,hr,low,1228
0.45,0.55,2,140,3,0,1,0,hr,low,1230
0.84,0.87,4,246,6,0,1,0,hr,low,1236
0.1,0.94,6,255,4,0,1,0,technical,low,4266
0.38,0.46,2,137,3,0,1,0,technical,low,1240
0.45,0.5,2,126,3,0,1,0,technical,low,1248
0.11,0.89,6,306,4,0,1,0,technical,low,1256
0.41,0.54,2,152,3,0,1,0,technical,low,4414
0.87,0.88,5,269,5,0,1,0,technical,low,1284
0.45,0.48,2,158,3,0,1,0,technical,low,5983
0.4,0.46,2,127,3,0,1,0,technical,low,1293
0.1,0.8,7,281,4,0,1,0,technical,low,7010
0.09,0.89,6,276,4,0,1,0,technical,low,52647
0.84,0.74,3,182,4,0,1,0,technical,low,10497
0.4,0.55,2,147,3,0,1,0,support,low,1310
0.57,0.7,3,273,6,0,1,0,support,low,1311
0.4,0.54,2,148,3,0,1,0,support,low,1316
0.43,0.47,2,147,3,0,1,0,support,low,1319
0.13,0.78,6,152,2,0,1,0,support,low,10865
0.44,0.55,2,135,3,0,1,0,support,low,1332
0.38,0.55,2,134,3,0,1,0,support,low,1334
0.39,0.54,2,132,3,0,1,0,support,low,1340
0.1,0.92,7,307,4,0,1,0,support,low,1341
0.37,0.46,2,140,3,0,1,0,support,low,1347
0.11,0.94,7,255,4,0,1,0,support,low,14030
0.1,0.81,6,309,4,0,1,0,technical,low,1361
0.38,0.54,2,128,3,0,1,0,technical,low,1371
0.85,1,4,225,5,0,1,0,technical,low,1374
0.85,0.91,5,226,5,0,1,0,management,medium,1393
0.11,0.93,7,308,4,0,1,0,IT,medium,1399
0.1,0.95,6,244,5,0,1,0,IT,medium,1404
0.36,0.56,2,132,3,0,1,0,IT,medium,1413
